date,sample_time_continuous_caster,steel_type,doc_requirement,"workpiece_weight, tonn",workpiece_slice_geometry_150x150,cast_in_row,alloy_type_open,"alloy_speed, meter/minute","steel_weight_theoretical, tonn","steel_weight, tonn",grab1_num,"steel_temperature_grab1, Celsius deg.","metal_residue_grab1, tonn",grab2_num,"resistance, tonn","swing_frequency, amount/minute","crystallizer_movement, mm","water_consumption, liter/minute","water_temperature_delta, Celsius deg.","water_consumption_secondary_cooling_zone_num1, liter/minute","water_consumption_secondary_cooling_zone_num2, liter/minute","water_consumption_secondary_cooling_zone_num3, liter/minute","Ce, %","C, %","Si, %","Mn,%","S, %","P, %","Cr, %","Ni, %","Cu, %","As, %","Mo, %","Nb, %","Ti, %","V, %","Al, %","Ca, %","N, %","Pb, %","Mg, %","Zn, %",sleeve,"quantity, tonn",num_crystallizer,num_stream,RUL
2020-01-05,2020-01-05 00:20:12,St3sp,Contract,163.8,1,18,1,3,164.2,163.8,5.0,1565.0,0.4,5.0,5178.0,180,10,1950,9,360,420,170.0,0.313,0.1858,0.1922,0.6894,0.0018,0.0102,0.0409,0.0158,0.0343,0.0013,0.0018,0.0007,0.0009,0.0025,0.0039,0.0007,0.0037,0.0,0.0,0.0,30013346,0.01,2,1,814.0
2020-01-05,2020-01-05 00:20:12,St3sp,Contract,163.8,1,18,1,3,164.2,163.8,5.0,1565.0,0.4,5.0,3488.0,180,10,1950,9,360,420,170.0,0.313,0.1858,0.1922,0.6894,0.0018,0.0102,0.0409,0.0158,0.0343,0.0013,0.0018,0.0007,0.0009,0.0025,0.0039,0.0007,0.0037,0.0,0.0,0.0,30013350,0.01,5,2,0.0
2020-01-05,2020-01-05 00:20:12,St3sp,Contract,163.8,1,18,1,3,164.2,163.8,5.0,1565.0,0.4,5.0,3700.0,180,10,1950,9,360,420,170.0,0.313,0.1858,0.1922,0.6894,0.0018,0.0102,0.0409,0.0158,0.0343,0.0013,0.0018,0.0007,0.0009,0.0025,0.0039,0.0007,0.0037,0.0,0.0,0.0,30012261,0.01,22,4,0.0
2020-01-05,2020-01-05 14:59:52,St3sp,Contract,161.7,1,6,1,3,162.1,161.7,3.0,1568.0,0.4,5.0,4844.0,180,10,1950,9,360,410,170.0,0.333,0.2064,0.1837,0.6842,0.0014,0.0133,0.0443,0.016,0.0319,0.0015,0.0015,0.0006,0.0009,0.0025,0.0033,0.0011,0.0056,0.0,0.0,0.0,30013346,0.03,2,1,1148.0
2020-01-05,2020-01-05 14:59:52,St3sp,Contract,161.7,1,6,1,3,162.1,161.7,3.0,1568.0,0.4,5.0,3147.0,180,10,1950,9,360,410,170.0,0.333,0.2064,0.1837,0.6842,0.0014,0.0133,0.0443,0.016,0.0319,0.0015,0.0015,0.0006,0.0009,0.0025,0.0033,0.0011,0.0056,0.0,0.0,0.0,30013350,0.03,5,2,341.0
2020-01-05,2020-01-05 14:59:52,St3sp,Contract,161.7,1,6,1,3,162.1,161.7,3.0,1568.0,0.4,5.0,3373.0,180,10,1950,9,360,410,170.0,0.333,0.2064,0.1837,0.6842,0.0014,0.0133,0.0443,0.016,0.0319,0.0015,0.0015,0.0006,0.0009,0.0025,0.0033,0.0011,0.0056,0.0,0.0,0.0,30012261,0.03,22,4,327.0
2020-01-05,2020-01-05 15:46:31,St3sp,Contract,170.1,1,7,1,3,170.5,170.1,12.0,1563.0,0.4,5.0,4874.0,180,10,1950,9,360,420,170.0,0.329,0.1977,0.185,0.7124,0.0014,0.0191,0.0428,0.0152,0.0291,0.0018,0.0016,0.0007,0.001,0.003,0.0034,0.0005,0.0051,0.0,0.0,0.0,30013346,0.03,2,1,1118.0
2020-01-05,2020-01-05 15:46:31,St3sp,Contract,170.1,1,7,1,3,170.5,170.1,12.0,1563.0,0.4,5.0,3175.0,180,10,1950,9,360,420,170.0,0.329,0.1977,0.185,0.7124,0.0014,0.0191,0.0428,0.0152,0.0291,0.0018,0.0016,0.0007,0.001,0.003,0.0034,0.0005,0.0051,0.0,0.0,0.0,30013350,0.03,5,2,313.0
2020-01-05,2020-01-05 15:46:31,St3sp,Contract,170.1,1,7,1,3,170.5,170.1,12.0,1563.0,0.4,5.0,3400.0,180,10,1950,9,360,420,170.0,0.329,0.1977,0.185,0.7124,0.0014,0.0191,0.0428,0.0152,0.0291,0.0018,0.0016,0.0007,0.001,0.003,0.0034,0.0005,0.0051,0.0,0.0,0.0,30012261,0.03,22,4,300.0
2020-01-05,2020-01-05 16:43:51,St3sp,Contract,165.9,1,8,1,3,166.3,165.9,5.0,1564.0,0.4,5.0,3204.0,180,10,1950,9,360,420,170.0,0.313,0.1831,0.1888,0.7034,0.0021,0.0109,0.043,0.018,0.0339,0.0017,0.0015,0.0006,0.0008,0.0025,0.0033,0.0008,0.0059,0.0,0.0,0.0,30013350,0.03,5,2,284.0
2020-01-05,2020-01-05 16:43:51,St3sp,Contract,165.9,1,8,1,3,166.3,165.9,5.0,1564.0,0.4,5.0,3427.0,180,10,1950,9,360,420,170.0,0.313,0.1831,0.1888,0.7034,0.0021,0.0109,0.043,0.018,0.0339,0.0017,0.0015,0.0006,0.0008,0.0025,0.0033,0.0008,0.0059,0.0,0.0,0.0,30012261,0.03,22,4,273.0
2020-01-05,2020-01-05 16:43:51,St3sp,Contract,165.9,1,8,1,3,166.3,165.9,5.0,1564.0,0.4,5.0,4901.0,180,10,1950,9,360,420,170.0,0.313,0.1831,0.1888,0.7034,0.0021,0.0109,0.043,0.018,0.0339,0.0017,0.0015,0.0006,0.0008,0.0025,0.0033,0.0008,0.0059,0.0,0.0,0.0,30013346,0.03,2,1,1091.0
2020-01-05,2020-01-05 17:20:36,St3sp,Contract,165.9,1,9,1,3,166.3,165.9,5.0,1565.0,0.4,5.0,3454.0,180,10,1950,9,360,420,170.0,0.322,0.1901,0.191,0.7017,0.0024,0.0154,0.051,0.018,0.0332,0.0015,0.0017,0.0006,0.0008,0.0027,0.0032,0.0005,0.0038,0.0,0.0,0.0,30012261,0.03,22,4,246.0
2020-01-05,2020-01-05 17:20:36,St3sp,Contract,165.9,1,9,1,3,166.3,165.9,5.0,1565.0,0.4,5.0,4928.0,180,10,1950,9,360,420,170.0,0.322,0.1901,0.191,0.7017,0.0024,0.0154,0.051,0.018,0.0332,0.0015,0.0017,0.0006,0.0008,0.0027,0.0032,0.0005,0.0038,0.0,0.0,0.0,30013346,0.03,2,1,1064.0
2020-01-05,2020-01-05 17:20:36,St3sp,Contract,165.9,1,9,1,3,166.3,165.9,5.0,1565.0,0.4,5.0,3231.0,180,10,1950,9,360,420,170.0,0.322,0.1901,0.191,0.7017,0.0024,0.0154,0.051,0.018,0.0332,0.0015,0.0017,0.0006,0.0008,0.0027,0.0032,0.0005,0.0038,0.0,0.0,0.0,30013350,0.03,5,2,257.0
2020-01-05,2020-01-05 18:00:45,St3sp,Contract,165.9,1,10,1,3,166.3,165.9,7.0,1563.0,0.4,5.0,4955.0,180,10,1950,9,360,420,170.0,0.327,0.1947,0.1898,0.7119,0.0032,0.0146,0.0465,0.0177,0.0356,0.0014,0.0017,0.0007,0.0009,0.0029,0.0028,0.0004,0.0049,0.0,0.0,0.0,30013346,0.03,2,1,1037.0
2020-01-05,2020-01-05 18:00:45,St3sp,Contract,165.9,1,10,1,3,166.3,165.9,7.0,1563.0,0.4,5.0,3482.0,180,10,1950,9,360,420,170.0,0.327,0.1947,0.1898,0.7119,0.0032,0.0146,0.0465,0.0177,0.0356,0.0014,0.0017,0.0007,0.0009,0.0029,0.0028,0.0004,0.0049,0.0,0.0,0.0,30012261,0.03,22,4,218.0
2020-01-05,2020-01-05 18:00:45,St3sp,Contract,165.9,1,10,1,3,166.3,165.9,7.0,1563.0,0.4,5.0,3259.0,180,10,1950,9,360,420,170.0,0.327,0.1947,0.1898,0.7119,0.0032,0.0146,0.0465,0.0177,0.0356,0.0014,0.0017,0.0007,0.0009,0.0029,0.0028,0.0004,0.0049,0.0,0.0,0.0,30013350,0.03,5,2,229.0
2020-01-05,2020-01-05 18:50:55,St3sp,Contract,168.0,1,11,1,3,168.4,168.0,3.0,1564.0,0.4,5.0,3509.0,180,10,1950,9,360,420,170.0,0.319,0.1894,0.1933,0.7081,0.0035,0.0102,0.0381,0.0152,0.032,0.0014,0.0016,0.0007,0.0009,0.0028,0.0029,0.0004,0.0051,0.0,0.0,0.0,30012261,0.03,22,4,191.0
2020-01-05,2020-01-05 18:50:55,St3sp,Contract,168.0,1,11,1,3,168.4,168.0,3.0,1564.0,0.4,5.0,3288.0,180,10,1950,9,360,420,170.0,0.319,0.1894,0.1933,0.7081,0.0035,0.0102,0.0381,0.0152,0.032,0.0014,0.0016,0.0007,0.0009,0.0028,0.0029,0.0004,0.0051,0.0,0.0,0.0,30013350,0.03,5,2,200.0
2020-01-05,2020-01-05 18:50:55,St3sp,Contract,168.0,1,11,1,3,168.4,168.0,3.0,1564.0,0.4,5.0,4983.0,180,10,1950,9,360,420,170.0,0.319,0.1894,0.1933,0.7081,0.0035,0.0102,0.0381,0.0152,0.032,0.0014,0.0016,0.0007,0.0009,0.0028,0.0029,0.0004,0.0051,0.0,0.0,0.0,30013346,0.03,2,1,1009.0
2020-01-05,2020-01-05 19:40:00,St3sp,Contract,163.8,1,12,1,3,164.2,163.8,12.0,1565.0,0.4,5.0,3536.0,180,10,1950,9,360,420,170.0,0.318,0.1886,0.1943,0.7041,0.0034,0.0088,0.0359,0.0182,0.035,0.0015,0.0021,0.0007,0.001,0.0027,0.0032,0.0004,0.0038,0.0,0.0,0.0,30012261,0.03,22,4,164.0
2020-01-05,2020-01-05 19:40:00,St3sp,Contract,163.8,1,12,1,3,164.2,163.8,12.0,1565.0,0.4,5.0,3315.0,180,10,1950,9,360,420,170.0,0.318,0.1886,0.1943,0.7041,0.0034,0.0088,0.0359,0.0182,0.035,0.0015,0.0021,0.0007,0.001,0.0027,0.0032,0.0004,0.0038,0.0,0.0,0.0,30013350,0.03,5,2,173.0
2020-01-05,2020-01-05 19:40:00,St3sp,Contract,163.8,1,12,1,3,164.2,163.8,12.0,1565.0,0.4,5.0,5010.0,180,10,1950,9,360,420,170.0,0.318,0.1886,0.1943,0.7041,0.0034,0.0088,0.0359,0.0182,0.035,0.0015,0.0021,0.0007,0.001,0.0027,0.0032,0.0004,0.0038,0.0,0.0,0.0,30013346,0.03,2,1,982.0
